source_id,ra,dec,catalogs,distance_kpc,V_total,V_GSR,v_esc,v_ratio,V_GSR_mc_mean,V_GSR_mc_std,P_v500,P_unbound,ruwe,parallax_over_error,radial_velocity
3877058564258758656,154.44467629206406,9.869414960885791,liao2024,7.36156955310476,940.1417673705824,703.2808300635313,477.4412162061779,1.4730207744775579,718.0999374914138,109.63253487859357,0.997,1.0,1.003081,8.127847240770564,314.4333
1383279090527227264,240.3373434419254,41.166772756632206,"li2021,liao2024",7.651049933323279,1013.3891136954447,812.5882488940069,518.287316705821,1.5678335600777022,821.6166287354218,101.54333785079282,1.0,1.0,1.0409881,9.945022650559899,-183.59418
1375165725506487424,231.84861431058908,36.034413081713915,"li2021,liao2024",9.888495710915663,975.081629709923,762.5981185910124,525.9038715957192,1.4500713148908861,772.0818825643339,128.55630488235033,0.996,0.989,1.1406634,7.966778418443051,-85.605896
3960007851762445696,187.4195629607277,24.505898691941105,"li2021,liao2024",9.134702961707156,974.0264612617193,739.8362497432416,506.40225774493376,1.4609655435538849,764.599556969875,159.07405924634708,0.992,0.988,1.0746093,6.2763663964454945,244.79881
1480182073940289024,219.16949770353318,35.62872942987709,liao2024,9.2389126066244,940.2401716559027,695.5525021946042,525.0409657306564,1.3247585380821876,708.7913734779765,105.2341661332259,0.995,0.986,0.9623561,8.42333217915759,-303.29297
1204061267883975040,238.11124181886743,20.19693940953324,liao2024,13.009688369165165,1105.4400633346493,871.3526839062079,559.6068051579335,1.5570802139553908,908.8049961773568,224.11429023371034,0.998,0.984,0.90651745,5.315811718468181,-262.89703
4429980078286167424,237.5303150246977,6.900228779451304,liao2024,7.955562896845043,1002.554284689544,772.8701510473875,600.7010213705938,1.2866136789379228,792.82549900244,136.34550610319437,0.998,0.979,1.0581794,7.936328412986718,-16.625776
1297316350890352000,248.17763607815107,21.27211481704506,liao2024,12.04037378505135,942.7644452906504,722.8821520987924,541.5948451352248,1.334728641884145,739.8558820699579,135.4345808367564,0.994,0.96,0.96986854,6.633409733846745,-335.14014
3651065597121243648,223.08259421940198,-0.07574271473987672,liao2024,7.506396098401607,1006.3864926373484,775.018796515182,591.4712396755612,1.3103237224861548,799.7627580411147,166.89852044073857,0.996,0.957,1.0505538,6.691102819216132,96.5666
4450033276296932096,242.06151803542735,6.534173779668572,liao2024,9.438589303957793,930.3721111527949,797.7586724187743,610.6902002076355,1.306323029496028,834.1276109525578,187.53167188575023,0.993,0.945,0.9436478,5.315862400555095,56.14682
4377621437648990080,253.295614947365,-3.802179664664599,liao2024,11.29259739753752,1093.6297902916363,850.7068258790441,594.4375330869392,1.4311122338814772,894.1537171762623,228.12911159511242,0.999,0.943,1.0316651,5.59807528867268,-230.70068
6241679678390298880,236.99437774220664,-20.51184008767356,liao2024,13.837505427682114,1011.8365453189666,792.299918462596,562.4473147319434,1.4086651277554734,842.1214203115618,216.73520877915078,0.997,0.931,1.1245633,5.134965916739904,-304.9343
2123569205674089856,275.49746099365746,49.44002895389446,liao2024,13.497794574913291,675.0024909744558,597.2923625308832,466.4509862559298,1.280504018922074,609.6869275840381,106.06363307491974,0.876,0.93,1.1088649,6.842720715058405,-88.116356
4450458649852400640,242.69748972926607,7.159996140854514,liao2024,7.211828443213722,807.3335973589517,676.1984913072587,590.7721968058852,1.1446010745990518,686.5962031905605,80.90185318091008,1.0,0.927,0.87231994,10.091981971711808,-119.920296
3910968052615480192,175.23141847992065,8.101426320262455,liao2024,12.601143936273365,905.3059486077452,661.172577522244,486.6616268477863,1.3585878586828455,688.3674364089379,172.73509159493534,0.913,0.926,0.9896933,5.029245867833901,372.45584
6706968397700303232,275.5710694452138,-47.10174922110221,liao2024,12.134101201445386,1051.705885656485,819.4226094177416,572.5941909626769,1.4310704201174014,865.7962419105361,211.5575243370769,0.997,0.926,0.9146317,5.499393326166254,-118.38229
2105847208541125248,284.9691585522302,43.91403514847219,liao2024,10.616737020628388,659.0247179008147,573.9963923215496,482.0311684633744,1.1907868824153907,587.1283596823117,87.4166215900966,0.859,0.883,1.099828,7.396076386791488,-198.93117
4547925480869924096,256.7448857754349,17.373980126571052,liao2024,13.300015163934347,914.5541636660134,699.8900439384959,524.4254412417099,1.3345844592919236,737.5117478425519,216.82293719766926,0.95,0.874,0.98335165,5.068170691773614,-294.58057
1850497933774341504,323.33682137778607,30.624468230238524,liao2024,9.369798524574927,554.6917289050166,579.1697849495744,482.44406202827867,1.2004910631807633,597.0067196572461,108.27421075732676,0.834,0.865,0.99468654,5.623840502482229,-93.06237
1202912007652562304,239.1558802127458,18.634451320316913,liao2024,10.099232458727082,683.3119002737943,675.8074650955236,571.24481330273,1.1830435031667952,696.1654387751138,139.02967949205987,0.978,0.865,1.1458479,5.380856615751709,-36.00111
4565639369106691584,251.90563318818405,21.62618335378544,liao2024,15.014277215849281,869.6558000956879,659.4280388166167,513.4032618620604,1.284425105568943,691.6912131640166,165.1511750569061,0.92,0.862,0.99697876,5.488760604944684,-286.77026
4284233897849498496,278.27642072987624,4.648037684234432,liao2024,9.165307619391667,888.7613815160904,679.0445613885771,552.1874763390042,1.2297355345518406,694.4211881267352,132.92543763491054,0.971,0.859,1.1242216,6.482910309267155,-279.13144
5444976198603796992,154.46818226630563,-37.6689702777441,liao2024,13.857842589386678,741.4525091590707,531.9266960999911,452.3527745964147,1.1759112046445865,558.6518725959037,124.2686066016221,0.667,0.847,1.0412321,5.110122179681163,532.18207
