source_id,catalogs,ra,dec,radial_velocity,lamost_rv,delta_rv,V_GSR_gaia_rv,P_unbound_gaia_rv,V_GSR_lamost_rv,P_unbound_lamost_rv,V_GSR_delta,P_unbound_delta
785709604755443456,"li2021,liao2024",171.7947901872858,46.880763722777296,112.585884,102.0,-10.585884094238281,429.08327551260055,0.032,425.3586417484214,0.033,-3.7246337641791456,0.0010000000000000009
1307536070952352384,li2021,250.73505309254617,27.270711995285293,-82.43552,-90.57,-8.134483642578118,326.98626839204417,0.0,325.356533180976,0.0,-1.62973521106818,0.0
1359836093873456768,"li2021,liao2024",255.2869250936269,46.43231871446769,-34.245075,-45.34,-11.094924774169925,454.04174680900354,0.0,450.29672846812093,0.001,-3.745018340882609,0.001
1313253325258442752,li2021,253.06106943591996,31.934618298099796,-458.27774,-465.38,-7.1022595214843705,377.2197820664786,0.0,382.73876919875715,0.0,5.518987132278539,0.0
3891412241883772928,"li2021,liao2024",179.2206117039011,0.9003501913092654,59.980007,63.06,3.079992828369143,426.6306757562693,0.0,426.26130233136973,0.0,-0.3693734248995497,0.0
1390742128779653632,li2021,232.9897859929,42.09739515446632,-232.03816,-232.34,-0.3018377685546909,339.4610094603979,0.0,339.5406109639258,0.0,0.07960150352789697,0.0
2125193798525926656,li2021,272.84846662860593,51.99635817636619,-200.00623,-208.17,-8.163774414062487,374.51106732331186,0.0,374.1423571435493,0.0,-0.3687101797625587,0.0
1218569465547760000,li2021,238.80279172592748,23.465405593354784,-172.68683,-179.29,-6.603171386718742,324.6540303166602,0.0,325.91947345194774,0.0,1.2654431352875122,0.0
1389588741082664320,li2021,233.9620423613163,40.371531271112794,-267.2886,-275.71,-8.421395263671855,360.0985022580992,0.0,363.1316473551092,0.0,3.0331450970099922,0.0
3685801299746274688,"li2021,liao2024",197.6011294236546,-1.424778515622144,-43.125237,-54.69,-11.564763488769529,421.87062507333576,0.0,425.283777939174,0.003,3.413152865838242,0.003
1469218534262614784,"li2021,liao2024",204.07877741456332,33.59162997907752,39.14724,41.67,2.522760314941408,399.6458655666683,0.001,400.247084034214,0.0,0.6012184675457206,-0.001
4526508609270671104,li2021,272.20730484059186,18.397288986799285,-151.77481,-156.49,-4.715189208984384,277.3023994258929,0.0,276.91425853986357,0.0,-0.38814088602930497,0.0
3858981901607901952,li2021,158.64312553596386,5.565146247563429,-32.405342,-28.94,3.46534210205078,306.19093453722036,0.0,304.3414197336779,0.0,-1.8495148035424336,0.0
1230634715875730048,li2021,209.33630557568796,13.656907246450176,106.46773,101.4,-5.067727661132807,369.15678659644124,0.0,367.6675290776731,0.0,-1.4892575187681132,0.0
1381686104337042176,"li2021,liao2024",244.317910373327,41.970164583090074,-168.81125,-169.43,-0.6187512207031318,432.59196423060166,0.006,432.59644281266714,0.005,0.004478582065473802,-0.001
1268023196461923712,"li2021,liao2024",225.7835776423352,26.246317568257627,-276.21573,-279.57,-3.354271240234368,436.70663666133385,0.003,438.1689916228335,0.004,1.4623549614996705,0.001
3974373349136229248,li2021,174.19033958182064,18.926264377741372,122.49704,118.64,-3.8570397949218744,360.4230538222783,0.0,359.7765023722425,0.0,-0.6465514500358154,0.0
3650271784085541376,li2021,221.86382468754599,-1.5567218124875875,65.641556,58.23,-7.411555786132816,351.2316996338912,0.0,350.09725191267256,0.0,-1.1344477212186348,0.0
4607189947880564352,li2021,267.20757595972566,33.07189888704997,-107.98011,-115.48,-7.499889831542973,305.5689813026053,0.0,303.48967543860795,0.0,-2.0793058639973765,0.0
2106519830479009920,li2021,285.48441585183855,45.97165858299128,-212.11932,-219.86,-7.740676269531264,352.6961972104446,0.0,352.3257203853919,0.0,-0.3704768250527195,0.0
1586744644959730560,li2021,223.08274848306831,45.352148261932285,-171.25592,-167.17,4.0859204101562625,311.0901432090896,0.0,310.5583856594532,0.0,-0.5317575496363816,0.0
4573804101936966784,li2021,258.3473891724181,26.26773468328772,-106.250885,-110.1,-3.8491149902343693,297.59918933122935,0.0,296.84287868622874,0.0,-0.7563106450006103,0.0
1296361321961628288,li2021,223.578051798512,39.19378103815118,11.226087,12.29,1.0639133834838859,325.66511612650197,0.0,326.0806616309485,0.0,0.41554550444652705,0.0
4570149462726186880,"li2021,liao2024",260.4006928769823,24.389481619231567,-273.4354,-278.92,-5.484605712890641,413.3798485551461,0.0,414.8263806551275,0.0,1.4465320999813684,0.0
1375165725506487424,"li2021,liao2024",231.84861431058908,36.034413081713915,-85.605896,-94.25,-8.64410400390625,529.3003124116008,0.489,528.6931723304803,0.514,-0.6071400811205194,0.025000000000000022
1321141977590168448,li2021,238.1165379867734,30.556727231110493,-165.98889,-162.83,3.1588916015624875,402.04307538143115,0.0,401.76760613987045,0.0,-0.27546924156069963,0.0
1890506653647184768,"li2021,liao2024",341.79716905648024,32.48356047940788,46.32028,42.57,-3.750278167724609,417.7864450726849,0.0,415.4013386008052,0.0,-2.3851064718796806,0.0
1220165578474729344,li2021,239.78740284047637,26.15057091653271,-20.787949,-26.49,-5.702051391601561,361.7055992503216,0.0,360.13712048576235,0.0,-1.568478764559245,0.0
