source_id,catalogs,ra,dec,distance_pc,distance_source,U,V,W,V_total,V_GSR,v_esc,v_over_vesc,V_GSR_mc_mean,V_GSR_mc_std,P_v500,P_unbound_final,ruwe,parallax_over_error,radial_velocity,lamost_rv,lamost_teff,lamost_logg,lamost_feh,lamost_designation
1383279090527227264,"li2021,liao2024",240.3373434419254,41.166772756632206,6386.69482421875,bailer_jones_geo,-91.97413324997274,-752.8362381468739,388.05362904385134,851.9432267870457,648.2704564538101,520.0124942337341,1.2466440011389937,652.670755394828,54.72435578699624,1.0,0.996,1.0409881,9.945022650559899,-183.59418,-183.97,4801.0,1.884,-1.4,J160120.99+411000.5
1204061267883975040,liao2024,238.11124181886743,20.19693940953324,9739.4677734375,bailer_jones_geo,146.36421912063037,-831.3272287736654,-52.15651710948709,845.7232101676566,608.6061140386092,566.9801160620349,1.0734170331504533,612.1718144933496,89.60428081283716,0.904,0.67,0.90651745,5.315811718468181,-262.89703,-266.69,4612.38,1.175,-2.377,J155226.70+201148.9
3877058564258758656,liao2024,154.44467629206406,9.869414960885791,5510.31884765625,bailer_jones_geo,-116.9126165611393,-714.8630684921682,-118.30866733990125,733.9582463416796,493.1936768746221,485.60481991557543,1.0156276392815995,497.5524976383372,50.01967340930212,0.471,0.571,1.003081,8.127847240770564,314.4333,308.6,5142.63,2.291,-1.214,J101746.73+095210.2
1375165725506487424,"li2021,liao2024",231.84861431058908,36.034413081713915,7507.490234375,bailer_jones_geo,117.45732400708972,-689.0547542796442,250.10005196943266,742.3898661440633,529.3003124116008,527.3650748607131,1.0036696354065517,529.5166628097617,69.39273386660632,0.65,0.489,1.1406634,7.966778418443051,-85.605896,-94.25,4242.47,0.749,-1.294,J152723.68+360204.0
2105847208541125248,liao2024,284.9691585522302,43.91403514847219,9003.4794921875,bailer_jones_geo,457.12177738813966,-337.0526724559229,-29.97592141548084,568.7384102000485,479.3290064932491,491.1982180110796,0.9758362081078178,480.49651632312896,56.42606631283296,0.347,0.422,1.099828,7.396076386791488,-198.93117,-203.49,4507.15,1.078,-1.22,J185952.62+435451.3
4450458649852400640,liao2024,242.69748972926607,7.159996140854514,6190.7626953125,bailer_jones_geo,339.8796735356951,-456.292555200236,-400.440809396812,695.7542168354174,568.3198805729011,578.7204328542393,0.9820283651813658,570.5491692839546,48.63681169236901,0.932,0.413,0.87231994,10.091981971711808,-119.920296,-124.18,4757.56,1.723,-1.592,J161047.39+070936.3
1477675943342041472,liao2024,213.4841222197292,31.89236692281783,7753.6416015625,bailer_jones_geo,-207.66877496314964,-612.4338702694785,277.3428024778263,703.6480623395493,503.80892322986915,526.9680653558324,0.9560520956610052,505.25584804876166,73.59601518876494,0.502,0.36,0.9524191,7.803543461462472,67.98254,63.14,4798.73,1.671,-1.659,J141356.21+315332.6
1297316350890352000,liao2024,248.17763607815107,21.27211481704506,9114.8876953125,bailer_jones_geo,182.39123008190347,-705.898414156638,-160.4865993315582,746.5353846165996,522.7951132856529,554.2540236592694,0.9432409887330723,525.0307308762452,84.78646648639103,0.582,0.341,0.96986854,6.633409733846745,-335.14014,-342.4,4430.71,1.245,-1.227,J163242.64+211619.8
3960007851762445696,"li2021,liao2024",187.4195629607277,24.505898691941105,6358.53466796875,bailer_jones_geo,-164.49355665778316,-655.8373335233723,182.75948520551077,700.4154250568428,477.07348334687,508.0092379437506,0.9391039526720064,482.48246307103767,61.01491724893146,0.375,0.32,1.0746093,6.2763663964454945,244.79881,236.06,4928.46,2.128,-1.342,J122940.71+243021.5
3651065597121243648,liao2024,223.08259421940198,-0.07574271473987672,5497.11474609375,bailer_jones_geo,-135.46152110411992,-703.5332887678658,184.89387485326336,739.9288189161342,511.7274151647477,564.1416896697114,0.9070902302298369,520.8108856419309,95.36292103111178,0.564,0.296,1.0505538,6.691102819216132,96.5666,88.79,5059.02,2.355,-2.112,J145219.83-000432.5
