source_id,v_grf_bj,v_grf_mc_mean_bj,v_grf_mc_std_bj,P_v500_bj,P_unbound_bj,v_esc,catalogs,distance_kpc_bj,distance_kpc_invplx,v_grf_invplx,v_grf_mc_mean_invplx,v_grf_mc_std_invplx,P_v500_invplx,P_unbound_invplx,delta_P_unbound,distance_ratio_bj_over_invplx
785709604755443456,429.08327551260055,429.99891596347123,33.29548827498488,0.028,0.032,498.1643564352185,"li2021,liao2024",3.07137060546875,3.4296223126642977,485.38742972339213,488.9133053929172,40.85241140146257,0.361,0.398,-0.366,0.8955419359523469
1307536070952352384,326.98626839204417,327.252263902477,13.470972665177834,0.0,0.0,538.7174957694261,li2021,5.4858876953125,6.348567882302985,365.4918100489382,367.6525854375821,18.738014783818464,0.0,0.0,0.0,0.864114206072324
1359836093873456768,454.04174680900354,454.8633076719267,18.09977863139899,0.007,0.0,516.2030125442353,"li2021,liao2024",3.363302490234375,3.527098464998,475.8966296949313,477.07673371058183,17.908195031904963,0.103,0.014,-0.014,0.9535607025465568
1313253325258442752,377.2197820664786,377.6050529160868,14.240641805902504,0.0,0.0,532.0194088164925,li2021,5.84772412109375,7.17720113971409,428.236154084399,432.1994390535569,30.6078342281492,0.03,0.009,-0.009,0.8147638622994894
3891412241883772928,426.6306757562693,427.74098855748133,18.40520538653113,0.0,0.0,509.4981138792572,"li2021,liao2024",4.98175830078125,6.18317539672591,492.4854894829113,495.4499456686443,30.14403360554174,0.396,0.306,-0.306,0.8056957762219021
1390742128779653632,339.4610094603979,342.72672615589926,42.40386220710281,0.0,0.0,518.4891419388961,li2021,4.3846025390625,5.035235564160912,406.2378305229368,408.2852503526082,50.19667191611626,0.048,0.024,-0.024,0.8707839947490449
2125193798525926656,374.51106732331186,374.49837219578757,23.836565747802748,0.0,0.0,506.11711668042267,li2021,5.14613330078125,5.903533731705261,444.2076796659358,445.9650275766069,27.452683317262135,0.03,0.03,-0.03,0.871703886969198
1218569465547760000,324.6540303166602,327.2776466610285,39.83811359216907,0.0,0.0,538.7489198146617,li2021,4.45591357421875,5.535948650975172,418.1978438888751,430.0329407367677,69.99118746247848,0.146,0.052,-0.052,0.8049051490811477
1389588741082664320,360.0985022580992,363.3905680692708,25.90421341313231,0.0,0.0,520.1289676227061,li2021,4.2235732421875,4.803715330900977,411.0256820363148,416.0876198605122,38.1079351493854,0.022,0.008,-0.008,0.8792305437040403
3685801299746274688,421.87062507333576,423.12131960774946,24.504216218919964,0.001,0.0,522.4461511139186,"li2021,liao2024",2.90582470703125,3.2731180160882043,473.20645668811807,479.1525312241662,40.56070131191467,0.29,0.131,-0.131,0.8877848866885903
